Class ID,Unit ID,Class Name,Class Type,Day,Start,End,Location,Staff
1,CAB403,Lecture - Real-time Online Option,LEC,Tue,09:00am,11:00am,GP VIRTOLT02,"Timothy Chappell"
3,CAB403,Practical - On Campus (Weeks 1-13),PRC,Tue,11:00am,01:00pm,GP S519,"Marat Sadykov"
